nrs_id,session,STATE,DATE,NRS_FROM,NRS_HEADED,NRS_BETMI,NRS_TODRK,NRS_AGE,NRS_ZIPCODE,NRS_SCHOOL,AreYouEmployed,NRS_RACE,NRS_VTYPE,NRS_DSEX,resulbac2,CityName,AreYouStudent
1968,4,IL,7/22/2007,Work,Home (own home),0 - 5,No,20,60154,Some college,1,Hispanic,Car,Male,0,Westchester,0
1990,3,CA,7/28/2022,Other,Home (own home),6 - 10,Yes,23,90732,High school graduate,1,White,Car,Female,0.043,San Pedro,0
1992,1,CA,7/27/2007,Home (own home),Restaurant / eating place,0 - 5,No,31,90503,Some college,1,White,Minivan,Female,0,Torrance,0
1993,3,WI,8/4/2007,Work,Someone else's home,6 - 10,No,46,53018,Some college,1,White,Car,Female,0,Delafield,0
1994,2,IL,7/21/2007,Work,Someone else's home,0 - 5,No,21,60613,College graduate,1,Asian,Car,Female,0,Chicago,0
1995,5,NE,8/5/2007,Work,Home (own home),6 - 10,Yes,30,68104,College graduate,1,Black or African American,SUV,Male,0,Omaha,0
1996,5,VA,8/12/2007,Work,Home (own home),0 - 5,Yes,50,23060,Some college,1,Black or African American,Car,Female,0,Glen Allen,0
1997,3,IL,7/21/2007,Work,Home (own home),0 - 5,No,26,60625,Some college,1,Hispanic,Motorcycle,Male,0,Chicago,0
1999,5,CA,7/29/2022,Someone else's home,Home (own home),0 - 5,Yes,21,90503,Some college,1,Hispanic,SUV,Female,0.038,Torrance,0
2000,3,VA,8/11/2007,Work,Home (own home),0 - 5,No,27,23294,Not a high school graduate,1,Hispanic,SUV,Female,0,Henrico,0
2007,3,NC,8/4/2007,Store or gas station,Home (own home),More than 20,No,27,27513,College graduate,1,Asian,Car,Male,0,Cary,0
2009,4,WI,8/5/2007,Other,Store or gas station,More than 20,No,20,53066,Some college,0,Asian,Van,Male,0,Oconomowoc,1
2012,3,NC,8/4/2007,Someone else's home,Home (own home),0 - 5,No,18,27513,High school graduate,1,Black or African American,Car,Male,0,Cary,0
2018,5,AL,7/22/2007,Work,Store or gas station,More than 20,Yes,54,35178,Some college,1,Black or African American,SUV,Male,0,Vincent,0
2020,4,VA,8/11/2007,Someone else's home,Home (own home),More than 20,No,29,22408,College graduate,1,Black or African American,Car,Female,0,Fredericksburg,0
2021,2,VA,8/10/2007,Someone else's home,Home (own home),6 - 10,No,30,23222,College graduate,1,Black or African American,SUV,Female,0,Richmond,0
2022,4,VA,8/11/2007,Home (own home),Other,6 - 10,No,48,23227,College graduate,1,Black or African American,Car,Female,0,Richmond,0
2030,1,TN,8/10/2007,Home (own home),Work,16 - 20,No,21,38002,High school graduate,1,Hispanic,Car,Male,0,Arlington,0
2033,5,IL,7/22/2007,Work,Home (own home),0 - 5,No,48,60804,Not a high school graduate,1,Hispanic,Car,Male,0,Cicero,0
2034,3,IL,7/21/2007,Home (own home),Work,More than 20,No,28,60608,Not a high school graduate,1,Hispanic,Car,Male,0,Chicago,0
2035,3,AL,39284,"Bar, tavern, club",Home (own home),16 - 20,Yes,19,35124,High school graduate,1,Hispanic,SUV,Male,0,Pelham,0
2036,1,CA,7/27/2007,Work,Work,6 - 10,No,46,90701,High school graduate,1,Hispanic,Pickup,Male,0,Artesia,0
2038,5,IL,7/22/2007,Someone else's home,Home (own home),6 - 10,Yes,20,60630,High school graduate,1,Hispanic,SUV,Male,0,Chicago,0
2040,3,CO,9/15/2007,"Bar, tavern, club",Home (own home),More than 20,No,61,80204,High school graduate,0,Hispanic,Pickup,Male,0,Denver,0
2048,2,OK,7/28/2007,Work,Home (own home),16 - 20,No,38,73109,Not a high school graduate,1,Hispanic,Car,Female,0,Oklahoma City,0
2053,1,NE,8/3/2007,Sport or rec facility / park,Home (own home),6 - 10,No,67,68154,High school graduate,1,White,Car,Male,0,Omaha,0
2056,3,MA,7/28/2007,Work,Restaurant / eating place,0 - 5,No,27,2451,College graduate,1,White,Car,Male,0,Waltham,0
2059,3,TN,8/11/2007,Restaurant / eating place,Home (own home),11 - 20,Yes,24,38002,High school graduate,1,White,SUV,Male,0.007,Arlington,0
2062,5,NC,8/5/2007,Home (own home),Work,More than 20,No,61,27330,Some college,1,White,Pickup,Male,0,Sanford,0
2065,2,NC,8/3/2007,Work,Home (own home),6 - 10,No,23,27511,High school graduate,1,White,Car,Male,0,Cary,0
2067,1,TN,8/10/2007,Work,Work,More than 20,No,45,38106,Some college,1,White,SUV,Male,0,Memphis,0
2068,2,IL,7/21/2007,"Bar, tavern, club",Home (own home),6 - 10,No,22,60706,High school graduate,1,White,Car,Male,0,Harwood Heights,0
2069,2,WI,8/3/2007,Work,Home (own home),11 - 20,No,24,53033,High school graduate,1,White,Motorcycle,Male,0,Hubertus,0
2072,2,AZ,8/11/2007,Home (own home),Store or gas station,6 - 10,No,25,85546,Not a high school graduate,1,White,Pickup,Male,0,Safford,0
2074,5,OK,7/29/2007,Restaurant / eating place,Home (own home),6 - 10,Yes,34,73135,Some college,1,White,Motorcycle,Male,0.006,Oklahoma City,0
2075,5,TN,8/12/2007,Restaurant / eating place,Work,11 - 20,No,32,26534,High school graduate,1,White,Car,Male,0,Granville,0
2076,1,KY,8/3/2007,Home (own home),Store or gas station,11 - 20,No,40,41837,Some college,1,White,Pickup,Male,0,Mayking,0
2079,1,MD,8/10/2007,Sport or rec facility / park,Home (own home),More than 20,No,49,20602,High school graduate,1,White,Pickup,Male,0,Waldorf,0
2085,1,MA,7/27/2007,Work,Work,0 - 5,No,55,1082,High school graduate,1,White,SUV,Male,0,Ware,0
2089,2,AZ,8/11/2007,Home (own home),Store or gas station,6 - 10,No,18,85536,High school graduate,1,White,Pickup,Male,0,Fort Thomas,0
2090,2,AZ,8/11/2007,Home (own home),"Bar, tavern, club",0 - 5,Yes,44,85548,Some college,1,White,Pickup,Male,0.032,Safford,0
2091,4,AZ,8/12/2007,Someone else's home,Sport or rec facility / park,More than 20,Yes,37,29501,Some graduate work,1,White,SUV,Male,0.075,Florence,0
2097,1,WI,8/3/2007,Work,Home (own home),11 - 20,No,23,53089,High school graduate,1,White,Pickup,Male,0,Sussex,0
2100,5,MA,7/29/2007,Restaurant / eating place,Home (own home),More than 20,Yes,30,1220,High school graduate,1,White,Car,Male,0.021,Adams,0
2116,5,AL,7/22/2007,Work,Home (own home),More than 20,Yes,29,35112,Some college,1,White,Car,Female,0,Margaret,0
2117,1,TN,8/10/2007,Home (own home),Work,11 - 20,No,54,38002,College graduate,1,White,Car,Female,0,Arlington,0
2118,2,MA,7/27/2007,Home (own home),Work,More than 20,No,38,1056,Some college,1,White,Car,Female,0,Ludlow,0
2123,5,MA,7/29/2007,Someone else's home,Someone else's home,6 - 10,No,20,2333,Some college,0,White,Car,Female,0,East Bridgewater,1
2126,1,OK,7/27/2007,Home (own home),Other,Refused to answer,No,61,73117,College graduate,1,White,Car,Female,0,Oklahoma City,0
2128,5,OR,10/28/2007,Someone else's home,Home (own home),0 - 5,No,24,92232,Not a high school graduate,1,Hispanic,Car,Male,0.031,Calexico,0
2135,5,CA,7/29/2007,Someone else's home,Home (own home),0 - 5,Yes,30,90505,Some college,1,White,Car,Female,0,Torrance,0
2141,5,OK,7/29/2007,Home (own home),Someone else's home,6 - 10,No,30,73129,Not a high school graduate,1,Black or African American,Pickup,Male,0,Oklahoma City,0
2150,3,TX,10/13/2007,Home (own home),Someone else's home,6 - 10,No,43,78242,Not a high school graduate,1,Hispanic,Car,Male,0,San Antonio,0
2151,5,AZ,8/12/2007,99,Someone else's home,6 - 10,No,53,85365,High school graduate,1,Hispanic,SUV,Female,0.115,Yuma,0
2155,3,AZ,8/11/2007,Store or gas station,Home (own home),0 - 5,Yes,31,85546,Not a high school graduate,0,Unknown,Car,Male,0,Safford,0
2159,2,NC,8/3/2007,Sport or rec facility / park,Home (own home),6 - 10,Yes,82,27513,Some graduate work,0,White,Car,Male,0.027,Cary,0
2161,5,CA,7/29/2007,Restaurant / eating place,Home (own home),6 - 10,Yes,64,90277,Some college,0,White,Other,Male,0,Redondo Beach,0
2164,1,MA,7/27/2007,Home (own home),Store or gas station,0 - 5,No,26,2478,Some graduate work,1,White,Car,Female,0,Belmont,0
2168,3,AZ,8/11/2007,Work,Home (own home),6 - 10,No,50,85344,High school graduate,1,American Indian or Native Alaska,Minivan,Male,0,Parker,0
2175,3,AZ,8/11/2007,Other,Home (own home),6 - 10,Yes,63,85344,Not a high school graduate,0,Hispanic,Pickup,Male,0,Parker,0
2179,3,NE,8/4/2007,Sport or rec facility / park,Home (own home),0 - 5,Yes,31,68164,College graduate,1,White,Car,Male,0.063,Omaha,0
2184,2,IL,7/21/2007,Restaurant / eating place,Home (own home),0 - 5,No,28,60657,Some graduate work,1,White,SUV,Female,0,Chicago,0
2187,2,AZ,8/11/2007,Other,Home (own home),More than 20,No,32,85546,Some graduate work,1,Asian,Minivan,Male,0,Safford,0
2188,2,IL,7/21/2007,Someone else's home,Home (own home),11 - 20,No,30,60645,College graduate,1,Asian,Car,Male,0,Chicago,0
2193,2,NC,8/3/2007,Someone else's home,Home (own home),6 - 10,No,45,28076,High school graduate,1,Black or African American,Pickup,Male,0,Henrietta,0
2194,4,MD,8/11/2007,Other,Home (own home),More than 20,No,48,20721,College graduate,1,Black or African American,SUV,Male,0,Bowie,0
2196,5,CA,7/29/2007,Someone else's home,Home (own home),More than 20,No,31,90805,College graduate,1,Black or African American,Car,Male,0,Long Beach,0
2205,3,NE,8/4/2007,Restaurant / eating place,"Bar, tavern, club",6 - 10,No,30,68110,Some college,1,Black or African American,Car,Female,0.071,Omaha,0
2213,4,TN,8/11/2007,Someone else's home,Home (own home),11 - 15,No,22,37917,Not a high school graduate,1,Hispanic,Car,Male,0,Knoxville,0
2214,2,AZ,39305,Home (own home),Someone else's home,More than 20,No,30,84200,College graduate,1,Hispanic,Minivan,Male,0,,0
2219,3,CA,7/28/2007,Sport or rec facility / park,Home (own home),16 - 20,No,36,90280,High school graduate,1,Hispanic,Minivan,Male,0,South Gate,0
2222,3,IL,7/21/2007,Other,Someone else's home,11 - 20,Yes,25,60639,College graduate,1,Hispanic,Car,Male,0,Chicago,0
2223,5,CO,9/16/2007,Other,Home (own home),More than 20,No,48,80631,Not a high school graduate,1,Hispanic,Car,Male,0,Greeley,0
2235,3,IL,7/21/2007,Home (own home),Work,11 - 20,No,49,60630,College graduate,1,Refused to Identify,Car,Male,0,Chicago,0
2237,2,IL,7/20/2007,Store or gas station,Home (own home),More than 20,No,52,60201,College graduate,1,White,Car,Male,0,Evanston,0
2238,1,KY,8/3/2007,Someone else's home,Home (own home),More than 20,No,40,47274,Some college,1,White,Car,Male,0,Seymour,0
2240,3,TN,8/11/2007,Home (own home),Home (own home),More than 20,No,38,38135,College graduate,1,White,Car,Male,0,Memphis,0
2247,2,FL,10/19/2007,Restaurant / eating place,Home (own home),More than 20,Yes,41,33023,College graduate,1,White,SUV,Male,0,Hollywood,0
2250,2,AL,7/20/2007,Other,Other,More than 20,Refu,58,35406,Some graduate work,1,White,SUV,Male,0,Tuscaloosa,0
2253,5,AZ,8/12/2007,Hotel / motel,Store or gas station,More than 20,No,31,85222,Some college,1,White,Car,Male,0,Casa Grande,0
2254,5,CA,7/29/2007,Other,Home (own home),More than 20,Yes,57,90377,Some graduate work,1,White,SUV,Male,0,,0
2257,3,MA,7/28/2007,Store or gas station,Home (own home),More than 20,Yes,60,1075,Some graduate work,0,White,Car,Male,0.005,South Hadley,0
2259,4,NY,11/17/2007,Someone else's home,Someone else's home,More than 20,No,50,6331,High school graduate,1,White,Pickup,Male,0,Canterbury,0
2260,3,AL,7/21/2007,Home (own home),Other,More than 20,Yes,25,35023,Some college,1,White,Car,Male,0,Bessemer,0
2262,4,MD,8/11/2007,Store or gas station,Someone else's home,0 - 5,Yes,47,21401,College graduate,1,White,Car,Male,0.009,Annapolis,0
2264,4,AZ,8/12/2007,Someone else's home,Home (own home),More than 20,No,79,85546,High school graduate,0,White,Car,Male,0,Safford,0
2265,5,AZ,8/12/2007,Other,Home (own home),More than 20,No,58,85546,College graduate,1,White,Car,Male,0,Safford,0
2273,3,IL,7/21/2007,Home (own home),Sport or rec facility / park,More than 20,No,53,60714,Some graduate work,1,White,SUV,Male,0,Niles,0
2285,5,NE,8/5/2007,Someone else's home,Someone else's home,0 - 5,No,29,57110,High school graduate,1,White,Car,Female,0,Sioux Falls,0
2287,1,NC,8/3/2007,Hotel / motel,Store or gas station,0 - 5,No,31,30052,Some graduate work,1,White,Car,Female,0,Loganville,0
2288,5,VA,8/12/2007,Restaurant / eating place,Home (own home),11 - 20,Yes,35,23060,Some college,1,White,Car,Female,0.064,Glen Allen,0
2291,4,AL,7/22/2007,Other,Home (own home),11 - 20,No,20,35131,High school graduate,0,White,Car,Female,0,Ragland,0
2292,2,IL,7/21/2022,Someone else's home,Home (own home),More than 20,No,25,60510,College graduate,1,White,Car,Female,0.062,Batavia,0
2294,5,MA,7/29/2007,Someone else's home,Home (own home),6 - 10,Yes,27,1040,Some college,1,White,Car,Female,0.133,Holyoke,0
2295,2,MD,8/10/2007,Someone else's home,Home (own home),11 - 20,Yes,21,20622,Some college,1,White,Car,Female,0.025,Charlotte Hall,0
2296,2,WI,8/3/2007,Home (own home),Other,11 - 20,No,43,53005,College graduate,0,White,Minivan,Female,0,Brookfield,0
2315,5,AZ,8/12/2007,Store or gas station,Home (own home),More than 20,Yes,32,87310,High school graduate,1,American Indian or Native Alaska,Car,Male,0.193,Brimhall,0
2330,5,FL,11/11/2007,School/church,Someone else's home,6 - 10,No,57,32028,College graduate,1,Hispanic,Car,Female,0,,0
