Day or Night?_2007,State_2007,Date_2007,From Where_2007,To Where_2007,Trip distance_2007,Alcohol Today_2007,Age Range_2007,Zipcode_2007,Education Level_2007,Employed_2007,Race_2007,Vehicle Type_2007,Gender_2007,Blood Alcohol Content_2007,Student_2007
3,TN,11/3/2007,,,,,#NULL!,,,,,,,0,No
1,IL,,,,,,#NULL!,,,,,,,#NULL!,No
1,IN,,,,,,#NULL!,,,,,,,0,No
1,MI,10/12/2007,,,,,#NULL!,,,,,,,0,No
5,IA,,,,,,#NULL!,,,,,,,#NULL!,No
3,NC,,,,,,#NULL!,,,,,,,#NULL!,No
3,CA,,,,,,#NULL!,,,,,,,0.064,No
4,MA,7/28/2007,,,,,#NULL!,,,,,,,0,No
4,MA,7/28/2007,,,,,#NULL!,,,,,,,#NULL!,No
4,MA,7/29/2007,,,,,#NULL!,,,,,,,0,No
2,TN,,,,,,#NULL!,,,,,,,#NULL!,No
3,TN,,,,,,#NULL!,,,,,,,#NULL!,No
4,IL,,,,,,#NULL!,,,,,,,#NULL!,No
1,IL,,School/church,Someone else's home,0 - 5,,#NULL!,,,,,,,#NULL!,No
1,IL,7/20/2007,,,,,#NULL!,,,,,,,0,No
3,IL,,,,,,#NULL!,,,,,,,#NULL!,No
5,IL,,,,,,#NULL!,,,,,,,#NULL!,No
2,IL,7/21/2007,,,,,#NULL!,,,,,,,0,No
5,IL,,,,,,#NULL!,,,,,,,#NULL!,No
2,IL,,,,,,#NULL!,,,,,,,#NULL!,No
1,MD,,,,,,#NULL!,,,,,,,#NULL!,No
1,MA,,,,,,#NULL!,,,,,,,#NULL!,No
5,NC,8/5/2007,,,,,#NULL!,,,,,,,0,No
3,FL,,,,,,#NULL!,,,,,,,#NULL!,No
3,AL,,,,,,#NULL!,,,,,,,#NULL!,No
4,AL,,,,,,#NULL!,,,,,,,#NULL!,No
1,OR,,,,,,#NULL!,,,,,,,#NULL!,No
5,CA,10/28/2007,,,,,#NULL!,,,,,,,0,No
3,MI,,,,,,#NULL!,,,,,,,#NULL!,No
