Day or Night?_2013,State,Date_2013,Race_2013,Vehicle Type_2013,From Where_2013,To Where_2013,Trip distance_2013,Alcohol Today_2013,Age Range_2013,Zipcode_2013,Education Level_2013,Employed_2013,Blood Alcohol Content_2013
3,CA,12/7/2013 1:36,8,Car,Other,Other,0-5,No,43.0,93003.0,High school graduate,Employed Full-time,#NULL!
3,CA,12/7/2013 1:56,1,Car,Other,Own home,More than 20,No,21.0,93033.0,Some college - no degree,Employed Full-time,#NULL!
3,CA,12/7/2013 2:17,8,Car,Other,Own home,0-5,Yes,23.0,93035.0,Some college - no degree,Other __________________________,#NULL!
3,CA,12/7/2013 2:34,8,Car,Someone else's home,Own home,0-5,No,19.0,93030.0,Some college - no degree,Employed Part-time,0
3,CA,12/7/2013 2:41,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
3,CA,12/7/2013 13:28,1,Car,Other,Other,More than 20,No,23.0,93033.0,Some college - no degree,Employed Full-time,0
1,FL,6/28/2013 9:55,1,SUV/ Crossover,Other,Own home,10-Jun,,76.0,33174.0,Bachelor's degree,Retired,#NULL!
1,FL,6/28/2013 10:08,#NULL!,Car,,,,,,,,,#NULL!
1,FL,6/28/2013 10:16,#NULL!,Car,,,,,,,,,#NULL!
1,FL,6/28/2013 10:54,1,SUV/ Crossover,Own home,Other,10-Jun,No,46.0,33125.0,9th - 11th grade,Employed Full-time,0
1,FL,6/28/2013 11:21,1,Car,Other,Own home,0-5,No,85.0,33125.0,Some college - no degree,Retired,#NULL!
1,FL,6/28/2013 11:41,1,SUV/ Crossover,Own home,Work,10-Jun,No,33.0,33125.0,High school graduate,Employed Full-time,#NULL!
4,FL,6/29/2013 22:41,1,Car,Own home,"Bar, tavern, club",20-Nov,No,24.0,33196.0,Associate's degree,Employed Full-time,#NULL!
4,FL,6/29/2013 22:47,#NULL!,Car,,,,,,,,,#NULL!
4,FL,6/29/2013 22:52,#NULL!,Car,,,,,,,,,#NULL!
4,FL,6/29/2013 23:13,1,Car,Own home,Own home,20-Nov,Yes,25.0,33146.0,Professional degree,Employed Full-time,0
4,FL,6/29/2013 23:35,1,Car,Someone else's home,Own home,10-Jun,No,28.0,33139.0,Bachelor's degree,Unemployed,#NULL!
4,FL,6/29/2013 23:55,1,Car,Own home,"Bar, tavern, club",0-5,No,26.0,33182.0,Some college - no degree,Employed Full-time,#NULL!
4,FL,6/30/2013 0:07,#NULL!,Car,,,,,,,,,#NULL!
4,FL,6/30/2013 0:18,8,Car,Restaurant/eating place,Own home,20-Nov,Yes,35.0,33132.0,Master's degree,Employed Full-time,#NULL!
5,FL,6/30/2013 1:37,1,Car,Store or gas station,Own home,10-Jun,,62.0,33132.0,Bachelor's degree,Other __________________________,0
5,FL,6/30/2013 2:04,1,Car,"Bar, tavern, club",Own home,0-5,Yes,31.0,33127.0,Bachelor's degree,Employed Full-time,#NULL!
5,FL,6/30/2013 2:30,6,Car,Someone else's home,Own home,0-5,No,23.0,33137.0,Associate's degree,Employed Full-time,0
5,FL,6/30/2013 2:50,1,SUV/ Crossover,Work,Own home,10-Jun,No,35.0,33181.0,High school graduate,Employed Full-time,#NULL!
5,FL,6/30/2013 4:15,#NULL!,Car,,,,,,,,,#NULL!
